volume,vw,open,close,high,low,date,n
13507.0,221.2775,221.17,221.35,221.35,221.17,2024-08-13 20:05:00,236
9228.0,221.246,221.33,221.08,221.33,221.08,2024-08-13 20:10:00,138
2867.0,221.0606,221.04,221.0505,221.09,221.04,2024-08-13 20:15:00,74
3645.0,221.0181,221.05,221.01,221.05,221.01,2024-08-13 20:20:00,133
56571.0,220.5808,221.03,220.64,221.1,220.01,2024-08-13 20:25:00,733
109628.0,220.5298,220.62,220.38,221.27,220.03,2024-08-13 20:30:00,660
69600.0,221.0397,220.44,220.6,221.27,220.31,2024-08-13 20:35:00,244
5998.0,220.7275,220.59,220.8124,220.86,220.59,2024-08-13 20:40:00,185
13412.0,220.6741,220.71,220.7584,221.27,220.6,2024-08-13 20:45:00,168
949347.0,221.2569,220.7581,220.46,221.27,220.13,2024-08-13 20:50:00,244
7080.0,220.3954,220.35,220.44,220.57,220.32,2024-08-13 20:55:00,166
5037.0,220.5761,220.45,220.65,220.66,220.45,2024-08-13 21:00:00,107
4592.0,220.6264,220.66,220.6,220.7,220.6,2024-08-13 21:05:00,96
2464.0,220.5886,220.6,220.57,220.6,220.56,2024-08-13 21:10:00,78
2918.0,220.4834,220.52,220.41,220.52,220.41,2024-08-13 21:15:00,59
2041.0,220.1451,220.42,220.49,220.49,220.42,2024-08-13 21:20:00,74
6089.0,219.989,220.49,220.55,220.68,220.49,2024-08-13 21:25:00,161
1013.0,220.5728,220.5,220.61,220.61,220.5,2024-08-13 21:30:00,33
1429.0,220.64,220.7385,220.62,220.7385,220.62,2024-08-13 21:35:00,42
1670.0,220.6675,220.6101,220.7281,220.7281,220.6101,2024-08-13 21:40:00,76
1386.0,220.5968,220.61,220.5534,220.7,220.55,2024-08-13 21:45:00,74
252.0,220.5945,220.6,220.6,220.6,220.6,2024-08-13 21:50:00,15
3221.0,220.6749,220.6683,220.68,220.69,220.6683,2024-08-13 21:55:00,73
7109.0,220.7271,220.69,220.84,220.84,220.69,2024-08-13 22:00:00,76
3917.0,220.8423,220.88,220.87,220.88,220.8,2024-08-13 22:05:00,60
578.0,220.8528,220.87,220.87,220.87,220.87,2024-08-13 22:10:00,18
5005.0,220.6398,220.7822,220.5,220.7822,220.5,2024-08-13 22:15:00,146
1458.0,220.5548,220.55,220.6,220.6,220.55,2024-08-13 22:20:00,16
2017.0,220.57,220.5,220.5869,220.6,220.5,2024-08-13 22:25:00,34
1165.0,220.6418,220.65,220.65,220.65,220.65,2024-08-13 22:30:00,24
154.0,220.6047,220.5304,220.5304,220.5304,220.5304,2024-08-13 22:35:00,6
952.0,220.6899,220.63,220.72,220.72,220.63,2024-08-13 22:40:00,36
416.0,220.6522,220.65,220.65,220.66,220.65,2024-08-13 22:50:00,14
